id,number,mesh_file,top_level_id,material,u_grid_count,v_grid_count,u_spacing,v_spacing,panel_material
cw-7,,,,composite,12,5,,,Glass
cw-8,,,,composite,11,3,0.61,,Glass
cw-9,,,,composite,11,3,0.61,2.44,Glass
cw-10,,,lv-2,composite,3,9,,,Glass
cw-11,,,lv-2,composite,2,2,0.241,0.33,Glass
cw-15,,,lv-2,composite,2,2,0.241,0.33,Glass
cw-17,,,lv-2,composite,2,2,0.241,0.33,Glass
cw-34,,,lv-2,composite,3,9,,,Glass
