id,number,base_offset,host_id,position,material,width,height
wn-50,200,0.914,w-67,21.612,glass,3.048,3.048
wn-51,201,0.914,w-67,17.555,glass,3.048,3.048
wn-52,202,0.914,w-67,13.474,glass,3.048,3.048
wn-53,203,0.914,w-67,9.417,glass,3.048,3.048
wn-54,207,0.914,w-67,4.180,glass,1.016,2.54
wn-55,230,0.914,w-69,8.271,glass,2.54,2.032
wn-56,231,0.914,w-69,3.848,glass,2.54,2.032
wn-57,232,0.914,w-68,8.120,glass,1.016,2.54
wn-58,233,0.914,w-68,14.003,glass,1.016,2.54
wn-59,234,0.914,w-68,16.944,glass,1.016,2.54
