id,number,base_offset,host_id,position,material,width,height,operation
d-35,176,-22.555,,0.5,glass,1.803,3.562,double_swing
d-36,177,-22.555,,0.5,glass,1.803,3.562,double_swing
d-37,187,-22.555,,0.5,glass,1.803,3.562,double_swing
d-38,156,0,w-75,5.385,aluminum,0.914,2.134,single_swing
d-39,157,0,w-80,0.567,aluminum,0.914,2.134,single_swing
d-40,167,0,w-74,4.351,aluminum,0.762,2.134,single_swing
d-41,168,0,w-74,5.477,aluminum,0.762,2.134,single_swing
d-42,169,0,w-74,9.517,aluminum,0.762,2.134,single_swing
d-43,170,0,w-84,7.381,glass,1.727,2.032,double_swing
d-44,171,0,w-84,2.688,glass,1.727,2.032,double_swing
d-45,172,0,w-87,0.922,glass,1.727,2.032,double_swing
d-46,173,0,w-89,7.308,glass,1.727,2.032,double_swing
d-47,174,0,w-85,7.082,glass,1.727,2.032,double_swing
