id,number,base_offset,host_id,position,material,width,height,operation
d-28,,-17.983,,0.5,glass,1.803,3.562,double_swing
d-29,,-17.983,,0.5,glass,1.803,3.562,double_swing
d-30,154,0,w-54,5.385,aluminum,0.914,2.134,single_swing
d-31,155,0,w-59,0.567,aluminum,0.914,2.134,single_swing
d-32,164,0,w-52,5.461,glass,2.54,2.54,double_swing
d-33,165,0,w-63,3.457,glass,1.727,2.032,double_swing
d-34,166,0,w-53,1.538,glass,1.727,2.032,double_swing
