id,number,base_offset,host_id,position,material,width,height
wn-36,196,0.914,w-49,21.612,glass,3.048,3.048
wn-37,197,0.914,w-49,17.555,glass,3.048,3.048
wn-38,198,0.914,w-49,13.474,glass,3.048,3.048
wn-39,199,0.914,w-49,9.417,glass,3.048,3.048
wn-40,206,0.914,w-49,4.180,glass,1.016,2.54
wn-41,210,3.658,w-49,1.229,glass,0.66,1.067
wn-42,224,0.914,w-51,13.881,glass,2.54,2.032
wn-43,225,0.914,w-51,8.281,glass,2.54,2.032
wn-44,226,0.914,w-51,3.856,glass,2.54,2.032
wn-45,227,0.914,w-50,8.100,glass,1.016,2.54
wn-46,228,0.914,w-50,13.998,glass,1.016,2.54
wn-47,229,0.914,w-50,16.925,glass,1.016,2.54
wn-48,242,0.305,w-52,10.429,glass,5.588,3.81
wn-49,243,0.914,w-50,21.281,glass,1.016,2.54
