id,number,base_offset,host_id,position,material,width,height
wn-6,188,0.914,w-18,21.612,glass,3.048,3.048
wn-7,189,0.914,w-18,17.555,glass,3.048,3.048
wn-8,190,0.914,w-18,13.474,glass,3.048,3.048
wn-9,191,0.914,w-18,9.417,glass,3.048,3.048
wn-10,204,0.914,w-18,4.180,glass,1.016,2.54
wn-11,208,3.658,w-18,1.229,glass,0.66,1.067
wn-12,218,0.914,w-19,13.867,glass,2.54,2.032
wn-13,219,0.914,w-19,8.284,glass,2.54,2.032
wn-14,220,0.914,w-19,3.858,glass,2.54,2.032
wn-15,221,0.914,w-20,22.583,glass,1.016,2.54
wn-16,222,0.914,w-20,16.692,glass,1.016,2.54
wn-17,223,0.914,w-20,7.303,glass,1.016,2.54
wn-18,239,0.305,w-30,10.429,glass,5.588,3.81
wn-19,240,0.914,w-20,3.406,glass,1.016,2.54
wn-20,244,0.914,w-20,13.746,glass,1.016,2.54
