id,number,mesh_file,top_level_id,material,thickness
w-62,,,lv-4,steel,0.138
w-63,,,lv-4,steel,0.138
w-64,,,lv-4,steel,0.138
w-65,,,lv-4,steel,0.138
w-66,,,lv-4,steel,0.138
w-67,,,lv-4,steel,0.138
w-68,,,lv-4,steel,0.138
w-69,,,lv-4,steel,0.138
w-70,,,lv-4,steel,0.138
w-71,,,lv-4,steel,0.138
w-72,,,lv-4,steel,0.138
w-73,,,lv-4,steel,0.138
w-74,,,lv-4,steel,0.138
w-75,,,lv-4,steel,0.138
w-76,,,lv-4,steel,0.138
w-77,,,lv-4,steel,0.138
w-79,,,lv-4,steel,0.138
w-109,,,lv-4,steel,0.138
w-110,,,lv-4,steel,0.138
w-111,,,lv-4,steel,0.138
w-112,,,lv-4,steel,0.138
w-113,,,lv-4,steel,0.138
w-114,,,lv-4,steel,0.138
w-115,,,lv-4,steel,0.138
w-116,,,lv-4,steel,0.138
w-117,,,lv-4,steel,0.138
w-118,,,lv-4,steel,0.138
w-119,,,lv-4,steel,0.138
w-120,,,lv-4,steel,0.138
w-121,,,lv-4,steel,0.138
w-122,,,lv-4,steel,0.138
w-123,,,lv-4,steel,0.138
