id,number,mesh_file,top_level_id,material,thickness
w-1,,,lv-4,concrete,0.303
w-2,,,lv-4,concrete,0.303
w-5,,,lv-4,steel,0.138
w-8,,,lv-4,composite,0.2
w-16,,,lv-4,concrete,0.303
w-24,,,lv-4,composite,0.2
w-25,,,lv-4,concrete,0.303
w-26,,,lv-4,composite,0.2
w-41,,,lv-4,composite,0.2
w-42,,,lv-4,concrete,0.303
w-43,,,lv-4,concrete,0.225
w-44,,,lv-4,concrete,0.225
w-45,,,lv-4,concrete,0.225
w-46,,,lv-4,concrete,0.225
w-145,,,lv-4,concrete,0.303
