id,number,mesh_file,top_level_id,material,shape,size_x,size_y
sc-56,,,lv-3,concrete,,0.3,
sc-57,,,lv-3,concrete,,0.3,
sc-58,,,lv-3,concrete,,0.3,
sc-59,,,lv-3,concrete,,0.3,
sc-60,,,lv-3,concrete,,0.3,
sc-61,,,lv-3,concrete,,0.3,
sc-62,,,lv-3,concrete,,0.3,
sc-63,,,lv-3,concrete,,0.3,
sc-64,,,lv-3,concrete,,0.3,
sc-65,,,lv-3,concrete,,0.3,
sc-66,,,lv-3,concrete,,0.3,
sc-67,,,lv-3,concrete,,0.3,
sc-68,,,lv-3,concrete,,0.3,
sc-69,,,lv-3,concrete,,0.3,
sc-70,,,lv-3,concrete,,0.3,
sc-71,,,lv-3,concrete,,0.3,
sc-72,,,lv-3,concrete,,0.3,
sc-73,,,lv-3,concrete,,0.3,
sc-74,,,lv-3,concrete,,0.3,
sc-75,,,lv-3,concrete,,0.3,
sc-76,,,lv-3,concrete,,0.3,
sc-77,,,lv-3,concrete,,0.3,
sc-78,,,lv-3,concrete,,0.3,
sc-79,,,lv-3,concrete,,0.3,
sc-80,,,lv-3,concrete,,0.3,
sc-81,,,lv-3,concrete,,0.3,
sc-82,,,lv-3,concrete,,0.3,
sc-83,,,lv-3,concrete,,0.3,
sc-84,,,lv-3,concrete,,0.3,
sc-85,,,lv-3,concrete,,0.3,
sc-86,,,lv-3,concrete,,0.3,
sc-87,,,lv-3,concrete,,0.3,
sc-88,,,lv-3,concrete,,0.3,
sc-89,,,lv-3,concrete,,0.3,
sc-90,,,lv-3,concrete,,0.3,
sc-91,,,lv-3,concrete,,0.3,
sc-92,,,lv-3,concrete,,0.3,
sc-93,,,lv-3,concrete,,0.3,
sc-94,,,lv-3,concrete,,0.3,
sc-95,,,lv-3,concrete,,0.3,
sc-96,,,lv-3,concrete,,0.3,
sc-97,,,lv-3,concrete,,0.3,
sc-98,,,lv-3,concrete,,0.3,
sc-99,,,lv-3,concrete,,0.3,
sc-100,,,lv-3,concrete,,0.3,
sc-101,,,lv-3,concrete,,0.3,
sc-102,,,lv-3,concrete,,0.3,
sc-103,,,lv-3,concrete,,0.3,
sc-104,,,lv-3,concrete,,0.3,
sc-105,,,lv-3,concrete,,0.3,
sc-106,,,lv-3,concrete,,0.3,
sc-107,,,lv-3,concrete,,0.3,
sc-108,,,lv-3,concrete,,0.3,
sc-109,,,lv-3,concrete,,0.3,
