id,number,mesh_file,system_type,terminal_type
tm-28,25,,,light_fixture
tm-29,26,,,light_fixture
tm-30,27,,,light_fixture
tm-31,28,,,light_fixture
tm-32,29,,,light_fixture
tm-33,30,,,light_fixture
tm-34,31,,,light_fixture
tm-35,32,,,light_fixture
tm-36,33,,,light_fixture
tm-37,34,,,light_fixture
tm-38,35,,,light_fixture
tm-39,36,,,light_fixture
tm-40,37,,,light_fixture
tm-41,38,,,light_fixture
