id,number,mesh_file,top_level_id,material,thickness
w-47,,,lv-3,steel,0.138
w-48,,,lv-3,steel,0.138
w-49,,,lv-3,steel,0.138
w-50,,,lv-3,steel,0.138
w-51,,,lv-3,steel,0.138
w-52,,,lv-3,steel,0.138
w-53,,,lv-3,steel,0.138
w-54,,,lv-3,steel,0.138
w-55,,,lv-3,steel,0.138
w-56,,,lv-3,steel,0.138
w-57,,,lv-3,steel,0.138
w-58,,,lv-3,steel,0.138
w-59,,,lv-3,steel,0.138
w-60,,,lv-3,steel,0.138
w-61,,,lv-3,steel,0.138
w-78,,,lv-3,steel,0.138
w-80,,,lv-3,steel,0.138
w-81,,,lv-3,steel,0.138
w-82,,,lv-3,steel,0.138
w-83,,,lv-3,steel,0.138
w-84,,,lv-3,steel,0.138
w-85,,,lv-3,steel,0.138
w-86,,,lv-3,steel,0.138
w-87,,,lv-3,steel,0.138
w-88,,,lv-3,steel,0.138
w-89,,,lv-3,steel,0.138
w-90,,,lv-3,steel,0.138
w-91,,,lv-3,steel,0.138
w-92,,,lv-3,steel,0.138
w-93,,,lv-3,steel,0.138
w-94,,,lv-3,steel,0.138
w-95,,,lv-3,steel,0.138
w-96,,,lv-3,steel,0.138
w-97,,,lv-3,steel,0.138
w-98,,,lv-3,steel,0.138
w-99,,,lv-3,steel,0.138
w-100,,,lv-3,steel,0.138
w-101,,,lv-3,steel,0.138
w-102,,,lv-3,steel,0.138
w-103,,,lv-3,steel,0.138
w-104,,,lv-3,steel,0.138
w-105,,,lv-3,steel,0.138
w-106,,,lv-3,steel,0.138
w-107,,,lv-3,steel,0.138
w-108,,,lv-3,steel,0.138
